numero,nombre,direccion,dirComplemento,entreCalles,estado,ciudad,telefono,latitud,longitud,estacionamiento,rampas,recibeDolar,tipos_servicio,servicios_detalle
4198,San Carlos,Avenida Licenciado Benito Juárez García 226,"Col. San Francisco Coaxusco, Metepec, C.P. 52158, Estado de México",Guadalupe Victoria y Mariano Zuñiga,Estado de México,Metepec,1349730,19.267405,-99.626583,0,0,0.0,"400,300,400,100,300,300,900","400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: Yes"
4199,Lerma,Avenida De Las Partidas 1,"Col. Isidro Fabela, Lerma , C.P. 52004, Estado de México",del Parque y P de Los Sauces,Estado de México,Lerma,2852393,19.295457,-99.529389,0,0,0.0,"300,600,300,900,300,400,100,300","300 (ATM): 24x7 - 24x7, Sat: No; 600 (AFORE): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
256,C.F. Santa Clara,Eje Vial Vía José María Morelos 14,"Col. Santa Clara Coatitla, Ecatepec de Morelos, C.P. 55540, Estado de México",Calle Alfareros y Calle Cuauhtemoc,Estado de México,Ecatepec,0,19.533567,-99.069359,0,0,0.0,"300,300,300,300,100,400,400,600,900","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 600 (AFORE): 08:00 - 17:00, Sat: Yes; 900 (Banamex 1): 09:00 - 16:00, Sat: No"
258,Texcoco,Nezahualcóyotl 208,"Col. Texcoco de Mora Centro, Texcoco, C.P. 56100, Estado de México",Vicente Guerrero y 2 de Marzo,Estado de México,Texcoco,0,19.513439,-98.880244,0,0,,"300,400,100,900,300,300,400,400","300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: Yes; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
259,Jamaica,Avenida Morelos 13,"Col. Magdalena Mixihuca, Venustiano Carranza, C.P. 15850, Ciudad de México",Congreso de la Unión y Melchor Ocampo,Ciudad de México,,0,19.408961,-99.121395,0,0,0.0,"100,400,400,300,300,400,900,300","100 (Sucursal): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
260,Guerrero,Avenida Guerrero 18,"Col. Cuauhtemoc, Cuauhtemoc, C.P. 06300, Ciudad de México",Puente de Alvarado y Orozco y Berra,Ciudad de México,,0,19.438886,-99.149088,0,0,,"900,400,300,100,300","900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
261,Ejército Nacional,Avenida Ejército Nacional Mexicano 966,"Col. Polanco I Sección, Miguel Hidalgo, C.P. 11510, Ciudad de México",Juan Vázquez de Mella y Avenida Ferrocarril de Cuernavaca,Ciudad de México,,0,19.438376,-99.206341,0,0,0.0,"300,300,100,400","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
269,Viga Ermita,Calzada de la Viga 1827,"Col. Mexicaltzingo, Iztapalapa, C.P. 09099, Ciudad de México",Ermita Iztapalapa y Retorno 509,Ciudad de México,,0,19.359257,-99.12261,0,0,0.0,"300,300,400,900,300,400,100,400,300","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: Yes; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
270,San Ángel,Avenida Revolución 1861,"Col. San Angel, Álvaro Obregón, C.P. 01000, Ciudad de México",Avenida Insurgentes y Loreto,Ciudad de México,,0,19.340059,-99.191795,0,0,0.0,"300,400,300,400,100","300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No"
7259,Granjas Churubusco,Avenida Río Churubusco 302,"Col. Granjas Estado de México , Iztacalco, C.P. 08400, Ciudad de México",Cafetal y Vainilla,Ciudad de México,,0,19.399024,-99.0980043,0,0,0.0,"100,300,400,300,900,300,400","100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
289,San Juan del Río,Avenida Benito Juárez Poniente 19,"Col. Centro, San Juan del Río, C.P. 76800, Querétaro",Hermenegildo Galeana y 16 de Septiembre,Querétaro,San Juan Del Rio,0,20.386518,-99.997986,0,0,0.0,"400,600,400,900,100","400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 600 (AFORE): 09:00 - 16:00, Sat: Yes; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: Yes; 100 (Sucursal): 09:00 - 16:00, Sat: Yes"
298,División del Norte Tlalpan,División del Norte 3695,"Col. San Pablo Tepetlapa, Coyoacán, C.P. 04620, Ciudad de México",Calle Benito Juárez y Cáliz,Ciudad de México,,0,19.320291,-99.138996,0,0,,"100,300,900","100 (Sucursal): 10:00 - 17:00, Sat: Yes; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No"
9030,Plaza Los Arcos,Antigua Carretera Mexico Cuautla 4,"Col. Empleado Postal, Cuautla, C.P. 62748, Morelos",Camino A la Vida y Carapan,Morelos,Cuautla,0,18.847491,-98.9376837,0,0,0.0,"900,400,300,400,300,100","900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No"
305,Zinacantepec,Corralitos 102,"Col. 14 de Diciembre, Toluca, C.P. 50100, Estado de México",Adolfo López Mateos y Río Volga,Estado de México,Toluca,0,19.288669,-99.689459,0,0,0.0,"300,400,400,400,100,300,300,400,900","300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No"
4265,San Fermin,Avenida Profesor Heriberto Enríquez 904,"Col. Ampliación Lázaro Cárdenas, Toluca, C.P. 50180, Estado de México",Avenida Profesor H Enriquez 4 Sur y Ceburuco,Estado de México,Toluca,2778837,19.261715,-99.6453584,0,0,0.0,"300,300,100,900,400","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
